0	0	61	62	政治
1	62	116	55	法律、司法
2	117	167	51	外交、国际关系
3	168	235	68	军事
4	236	332	97	社会、劳动、灾难事故
5	333	382	50	经济
6	383	421	39	财政、金融
7	422	442	21	基本建设、建筑业、房地产
8	443	513	71	农业、农村
9	514	550	37	矿业、工业
10	551	575	25	能源、水务、水利
11	576	620	45	信息产业
12	621	636	16	交通运输、邮政、物流
13	637	669	33	商业、外贸、海关
14	670	686	17	服务业、旅游业
15	687	705	19	环境、气象
16	706	752	47	教育
17	753	774	22	科学技术
18	775	818	44	文化、娱乐休闲
19	819	875	57	文学、艺术
20	876	896	21	传媒业
21	897	939	43	医药、卫生
22	940	999	60	体育
